_id|start|end|step_count|sensor_value
1|1471524825467|1471524825467|0|15
2|1471525320698|1471527919943|1664|1679
3|1471530828686|1471532101049|509|2188
4|1471532880725|1471535861196|1259|3447
5|1471546080980|1471546080980|15|3462
6|1471546980930|1471550364455|1910|5372
7|1471551181843|1471553761268|204|5576
8|1471554515885|1471555321072|415|5991
9|1471589041796|1471589967109|967|6986
10|1471590001449|1471593227444|2409|9395
11|1471594249291|1471594934086|167|9562
12|1471681862208|1471683561241|681|10302
13|1471684240265|1471686605648|80|10382
14|1471687535987|1471690741409|915|11297
15|1471691520988|1471693502113|2370|13667
16|1471694521018|1471711501977|1739|842
17|1471713901349|1471714861685|118|960
18|1471716601374|1471718763095|1398|2358
19|1471720021310|1471721731357|205|2563
20|1471725061973|1471725061973|47|2610
21|1472226592447|1472227173326|812|834
22|1472227260290|1472230740767|2195|3029
23|1472231109993|1472234159870|439|3468
24|1472234520864|1472236061802|1743|5211
25|1472240945030|1472241240311|434|5645
26|1472241829411|1472243520408|1986|7631
27|1472249521277|1472252329234|1093|8724
28|1472252899753|1472254360001|222|8946
29|1472258782421|1472259150084|62|9024
30|1472260559437|1472263080422|490|9514
31|1472263322929|1472266440582|1268|10782
32|1472267773278|1472268924364|103|10885
33|1472271120484|1472273970431|2048|12933
34|1472274127711|1472276195792|2057|14990
35|1472277660608|1472278445770|719|15709
36|1472331757392|1472334779871|515|16224
37|1472335800863|1472337300290|680|16904
38|1472338964136|1472342028636|1387|18291
39|1472342523019|1472342760133|373|18757
40|1472430925016|1472430925016|0|18804
41|1472869374080|1472869434839|101|115
42|1473032020226|1473032020226|0|115
43|1473074805209|1473075913960|1806|2163
44|1473078890017|1473080290184|2442|4605
45|1473080504979|1473081706481|1246|5851
46|1473328850086|1473328850086|0|5925
47|1473346214757|1473346214757|318|6243
48|1473346800632|1473349525439|3598|9841
49|1473351183941|1473352072417|1490|11331
50|1473356189558|1473357302084|1304|12635
51|1473357684441|1473359659274|1853|14488
52|1473370593706|1473371580343|1158|15646
53|1473418790618|1473418790618|0|16367
54|1473418814916|1473422333289|5252|21619
55|1473422415136|1473423614305|1514|23133
56|1473426600946|1473428244657|1849|24982
57|1473435014117|1473436697432|1345|26327
58|1473447450128|1473447450128|718|27045
59|1473447615471|1473448775766|2197|29242
60|1473451768028|1473451989144|936|30178
61|1473457743729|1473457744372|367|30545
62|1473947778685|1473947912794|60|30709
63|1473948012950|1473950154371|1046|31755
64|1473951762857|1473954621507|2467|34222
65|1473955376021|1473957779083|628|34850
66|1473959413028|1473961997243|1626|36476
67|1473962599608|1473965851075|1996|38472
68|1473967144423|1473968413950|1428|39900
69|1473970813111|1473971413575|1565|41465
70|1473974637140|1473975722217|624|42089
71|1473977916908|1473979324141|1021|43110
72|1475246537131|1475247476914|1700|1734
73|1475247601462|1475250688751|3585|5319
74|1475251204325|1475253912487|2907|8226
75|1475255585122|1475257565929|2455|10681
76|1475258756985|1475261114723|1053|11734
77|1475262013340|1475264715580|2500|14234
78|1475266792370|1475268088374|1593|15827
79|1475270443131|1475272688858|2241|18068
80|1475272888662|1475273602392|492|18560
81|1475491395645|1475492395610|1079|1149
82|1475492406047|1475493509580|782|1931
83|1475497139424|1475498211759|890|2821
84|1475504630273|1475506709330|1746|4567
85|1475507798375|1475510309733|3224|7791
86|1475510909379|1475513909632|1872|9663
87|1475514098416|1475517509718|2544|12207
88|1475518110617|1475521109440|4170|16377
89|1475521709579|1475522546712|1860|18237
90|1476779791338|1476780718468|580|793
91|1476781202024|1476782273072|2188|2981
